ITEM,INSTALL,DISCIPLINE,SUBCONTRACTOR,TAG,SYSTEM,DESCRIPTION,LEVEL,PQT DW,PQT BW,GQE,OBS
144,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH46,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
145,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH47,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
146,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH48,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
147,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH49,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
148,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH50,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
149,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH51,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
150,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH52,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
151,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH53,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
152,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH54,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
153,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH55,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
154,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH56,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
155,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT11,HVAC,Temperature Transmitter (PT100),1,,,,
156,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT12,HVAC,Temperature Transmitter (PT100),1,,,,
157,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT13,HVAC,Temperature Transmitter (PT100),1,,,,
158,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT14,HVAC,Temperature Transmitter (PT100),1,,,,
159,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT15,HVAC,Temperature Transmitter (PT100),1,,,,
160,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT16,HVAC,Temperature Transmitter (PT100),1,,,,
161,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT17,HVAC,Temperature Transmitter (PT100),1,,,,
162,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT18,HVAC,Temperature Transmitter (PT100),3,,,,
163,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT19,HVAC,Temperature Transmitter (PT100),3,,,,
164,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT20,HVAC,Temperature Transmitter (PT100),3,,,,
165,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT21,HVAC,Temperature Transmitter (PT100),3,,,,
166,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT22,HVAC,Temperature Transmitter (PT100),3,,,,
167,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT23,HVAC,Temperature Transmitter (PT100),3,,,,
